Date,Start (ET),Vteam,PTS,Hteam,PTS,,,Attend.,Notes
Fri Nov 29 2019,9:00p,Dallas Mavericks,120,Phoenix Suns,113,Box Score,,18055,
Fri Nov 29 2019,10:00p,Chicago Bulls,103,Portland Trail Blazers,107,Box Score,,20139,
Fri Nov 29 2019,10:30p,Washington Wizards,103,Los Angeles Lakers,125,Box Score,,18997,
Sat Nov 30 2019,5:00p,Denver Nuggets,97,Sacramento Kings,100,Box Score,OT,17583,
Sat Nov 30 2019,7:00p,Indiana Pacers,116,Philadelphia 76ers,119,Box Score,,20517,
Sat Nov 30 2019,8:00p,Atlanta Hawks,111,Houston Rockets,158,Box Score,,18055,
Sat Nov 30 2019,8:00p,Charlotte Hornets,96,Milwaukee Bucks,137,Box Score,,17550,
Sun Dec 1 2019,3:00p,Miami Heat,109,Brooklyn Nets,106,Box Score,,17026,
Sun Dec 1 2019,3:30p,Memphis Grizzlies,115,Minnesota Timberwolves,107,Box Score,,12276,
Sun Dec 1 2019,3:30p,Boston Celtics,113,New York Knicks,104,Box Score,,18005,
Sun Dec 1 2019,4:00p,Dallas Mavericks,114,Los Angeles Lakers,100,Box Score,,18997,
Sun Dec 1 2019,5:00p,San Antonio Spurs,98,Detroit Pistons,132,Box Score,,14270,
Sun Dec 1 2019,5:00p,Oklahoma City Thunder,107,New Orleans Pelicans,104,Box Score,,15427,
Sun Dec 1 2019,6:00p,Golden State Warriors,96,Orlando Magic,100,Box Score,,15052,
Sun Dec 1 2019,6:00p,Utah Jazz,110,Toronto Raptors,130,Box Score,,18132,
Sun Dec 1 2019,10:30p,Washington Wizards,125,Los Angeles Clippers,150,Box Score,,19068,
Mon Dec 2 2019,7:00p,Phoenix Suns,109,Charlotte Hornets,104,Box Score,,11221,
Mon Dec 2 2019,7:00p,Utah Jazz,94,Philadelphia 76ers,103,Box Score,,20208,
Mon Dec 2 2019,7:30p,Golden State Warriors,79,Atlanta Hawks,104,Box Score,,14278,
Mon Dec 2 2019,8:00p,Indiana Pacers,117,Memphis Grizzlies,104,Box Score,,11919,
Mon Dec 2 2019,8:00p,New York Knicks,88,Milwaukee Bucks,132,Box Score,,17385,
Mon Dec 2 2019,10:00p,Chicago Bulls,113,Sacramento Kings,106,Box Score,,17257,
Tue Dec 3 2019,7:00p,Detroit Pistons,127,Cleveland Cavaliers,94,Box Score,,17504,
Tue Dec 3 2019,7:00p,Orlando Magic,127,Washington Wizards,120,Box Score,,13159,
Tue Dec 3 2019,7:30p,Dallas Mavericks,118,New Orleans Pelicans,97,Box Score,,14664,
Tue Dec 3 2019,7:30p,Miami Heat,121,Toronto Raptors,110,Box Score,OT,19800,
Tue Dec 3 2019,8:30p,Houston Rockets,133,San Antonio Spurs,135,Box Score,2OT,18354,
Tue Dec 3 2019,9:00p,Los Angeles Lakers,105,Denver Nuggets,96,Box Score,,19658,
Tue Dec 3 2019,10:00p,Portland Trail Blazers,97,Los Angeles Clippers,117,Box Score,,19068,
Wed Dec 4 2019,7:00p,Golden State Warriors,91,Charlotte Hornets,106,Box Score,,14355,
Wed Dec 4 2019,7:00p,Milwaukee Bucks,127,Detroit Pistons,103,Box Score,,15742,
Wed Dec 4 2019,7:00p,Phoenix Suns,114,Orlando Magic,128,Box Score,,15176,
Wed Dec 4 2019,7:30p,Brooklyn Nets,130,Atlanta Hawks,118,Box Score,,15694,
Wed Dec 4 2019,7:30p,Miami Heat,93,Boston Celtics,112,Box Score,,19156,
Wed Dec 4 2019,8:00p,Memphis Grizzlies,99,Chicago Bulls,106,Box Score,,15017,
Wed Dec 4 2019,8:00p,Indiana Pacers,107,Oklahoma City Thunder,100,Box Score,,18203,
Wed Dec 4 2019,8:30p,Minnesota Timberwolves,114,Dallas Mavericks,121,Box Score,,19671,
Wed Dec 4 2019,9:00p,Los Angeles Lakers,121,Utah Jazz,96,Box Score,,18306,
Wed Dec 4 2019,10:00p,Sacramento Kings,116,Portland Trail Blazers,127,Box Score,,19393,
Thu Dec 5 2019,7:00p,Philadelphia 76ers,113,Washington Wizards,119,Box Score,,16554,
Thu Dec 5 2019,7:30p,Denver Nuggets,129,New York Knicks,92,Box Score,,18171,
Thu Dec 5 2019,7:30p,Houston Rockets,119,Toronto Raptors,109,Box Score,,19800,
Thu Dec 5 2019,8:00p,Phoenix Suns,139,New Orleans Pelicans,132,Box Score,OT,15607,
Fri Dec 6 2019,7:00p,Brooklyn Nets,,Charlotte Hornets,,,,,
Fri Dec 6 2019,7:00p,Orlando Magic,,Cleveland Cavaliers,,,,,
Fri Dec 6 2019,7:00p,Indiana Pacers,,Detroit Pistons,,,,,
Fri Dec 6 2019,8:00p,Denver Nuggets,,Boston Celtics,,,,,
Fri Dec 6 2019,8:00p,Golden State Warriors,,Chicago Bulls,,,,,
Fri Dec 6 2019,8:00p,Washington Wizards,,Miami Heat,,,,,
Fri Dec 6 2019,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,
Fri Dec 6 2019,8:30p,Los Angeles Clippers,,Milwaukee Bucks,,,,,
Fri Dec 6 2019,8:30p,Sacramento Kings,,San Antonio Spurs,,,,,
Fri Dec 6 2019,10:30p,Los Angeles Lakers,,Portland Trail Blazers,,,,,
Sat Dec 7 2019,2:00p,New Orleans Pelicans,,Dallas Mavericks,,,,,
Sat Dec 7 2019,7:30p,Indiana Pacers,,New York Knicks,,,,,
Sat Dec 7 2019,7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
Sat Dec 7 2019,8:00p,Phoenix Suns,,Houston Rockets,,,,,
Sat Dec 7 2019,10:00p,Memphis Grizzlies,,Utah Jazz,,,,,
Sun Dec 8 2019,3:00p,Denver Nuggets,,Brooklyn Nets,,,,,
Sun Dec 8 2019,5:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
Sun Dec 8 2019,6:00p,Chicago Bulls,,Miami Heat,,,,,
Sun Dec 8 2019,6:00p,Toronto Raptors,,Philadelphia 76ers,,,,,
Sun Dec 8 2019,6:00p,Los Angeles Clippers,,Washington Wizards,,,,,
Sun Dec 8 2019,7:00p,Sacramento Kings,,Dallas Mavericks,,,,,
Sun Dec 8 2019,9:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,
Sun Dec 8 2019,9:30p,Minnesota Timberwolves,,Los Angeles Lakers,,,,,
Mon Dec 9 2019,7:00p,Los Angeles Clippers,,Indiana Pacers,,,,,
Mon Dec 9 2019,7:30p,Cleveland Cavaliers,,Boston Celtics,,,,,
Mon Dec 9 2019,8:00p,Toronto Raptors,,Chicago Bulls,,,,,
Mon Dec 9 2019,8:00p,Sacramento Kings,,Houston Rockets,,,,,
Mon Dec 9 2019,8:00p,Orlando Magic,,Milwaukee Bucks,,,,,
Mon Dec 9 2019,8:00p,Detroit Pistons,,New Orleans Pelicans,,,,,
Mon Dec 9 2019,9:00p,Minnesota Timberwolves,,Phoenix Suns,,,,,
Mon Dec 9 2019,9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,
Mon Dec 9 2019,10:30p,Memphis Grizzlies,,Golden State Warriors,,,,,
Tue Dec 10 2019,7:00p,Washington Wizards,,Charlotte Hornets,,,,,
Tue Dec 10 2019,8:00p,Atlanta Hawks,,Miami Heat,,,,,
Tue Dec 10 2019,8:00p,Denver Nuggets,,Philadelphia 76ers,,,,,
Tue Dec 10 2019,10:00p,New York Knicks,,Portland Trail Blazers,,,,,
Wed Dec 11 2019,7:00p,Houston Rockets,,Cleveland Cavaliers,,,,,
Wed Dec 11 2019,7:00p,Boston Celtics,,Indiana Pacers,,,,,
Wed Dec 11 2019,7:00p,Los Angeles Lakers,,Orlando Magic,,,,,
Wed Dec 11 2019,7:00p,Los Angeles Clippers,,Toronto Raptors,,,,,
Wed Dec 11 2019,7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,
Wed Dec 11 2019,8:00p,Atlanta Hawks,,Chicago Bulls,,,,,
Wed Dec 11 2019,8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,
Wed Dec 11 2019,9:00p,Memphis Grizzlies,,Phoenix Suns,,,,,
Wed Dec 11 2019,9:30p,New Orleans Pelicans,,Milwaukee Bucks,,,,,
Wed Dec 11 2019,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,
Wed Dec 11 2019,10:30p,New York Knicks,,Golden State Warriors,,,,,
Thu Dec 12 2019,8:00p,Philadelphia 76ers,,Boston Celtics,,,,,
Thu Dec 12 2019,8:30p,Cleveland Cavaliers,,San Antonio Spurs,,,,,
Thu Dec 12 2019,9:00p,Dallas Mavericks,,Detroit Pistons,,,,,at Mexico City Mexico
Thu Dec 12 2019,10:30p,Portland Trail Blazers,,Denver Nuggets,,,,,
Fri Dec 13 2019,7:00p,Los Angeles Lakers,,Miami Heat,,,,,
Fri Dec 13 2019,7:00p,Houston Rockets,,Orlando Magic,,,,,
Fri Dec 13 2019,7:00p,New Orleans Pelicans,,Philadelphia 76ers,,,,,
Fri Dec 13 2019,7:30p,Indiana Pacers,,Atlanta Hawks,,,,,
Fri Dec 13 2019,8:00p,Charlotte Hornets,,Chicago Bulls,,,,,
Fri Dec 13 2019,8:00p,Milwaukee Bucks,,Memphis Grizzlies,,,,,
Fri Dec 13 2019,9:00p,Golden State Warriors,,Utah Jazz,,,,,
Fri Dec 13 2019,9:30p,Los Angeles Clippers,,Minnesota Timberwolves,,,,,
Fri Dec 13 2019,10:00p,New York Knicks,,Sacramento Kings,,,,,
Sat Dec 14 2019,5:00p,San Antonio Spurs,,Phoenix Suns,,,,,at Mexico City Mexico
Sat Dec 14 2019,7:30p,Brooklyn Nets,,Toronto Raptors,,,,,
Sat Dec 14 2019,8:00p,Los Angeles Clippers,,Chicago Bulls,,,,,
Sat Dec 14 2019,8:00p,Washington Wizards,,Memphis Grizzlies,,,,,
Sat Dec 14 2019,8:30p,Miami Heat,,Dallas Mavericks,,,,,
Sat Dec 14 2019,8:30p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,
Sat Dec 14 2019,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
Sat Dec 14 2019,9:00p,Detroit Pistons,,Houston Rockets,,,,,
Sun Dec 15 2019,3:30p,Orlando Magic,,New Orleans Pelicans,,,,,
Sun Dec 15 2019,5:00p,Charlotte Hornets,,Indiana Pacers,,,,,
Sun Dec 15 2019,6:00p,Los Angeles Lakers,,Atlanta Hawks,,,,,
Sun Dec 15 2019,6:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,
Sun Dec 15 2019,8:00p,New York Knicks,,Denver Nuggets,,,,,
Sun Dec 15 2019,8:30p,Sacramento Kings,,Golden State Warriors,,,,,
Mon Dec 16 2019,7:00p,Washington Wizards,,Detroit Pistons,,,,,
Mon Dec 16 2019,7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,
Mon Dec 16 2019,8:00p,San Antonio Spurs,,Houston Rockets,,,,,
Mon Dec 16 2019,8:00p,Miami Heat,,Memphis Grizzlies,,,,,
Mon Dec 16 2019,8:00p,Dallas Mavericks,,Milwaukee Bucks,,,,,
Mon Dec 16 2019,8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,
Mon Dec 16 2019,9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,
Tue Dec 17 2019,7:00p,Sacramento Kings,,Charlotte Hornets,,,,,
Tue Dec 17 2019,7:00p,Los Angeles Lakers,,Indiana Pacers,,,,,
Tue Dec 17 2019,7:30p,Atlanta Hawks,,New York Knicks,,,,,
Tue Dec 17 2019,8:00p,Brooklyn Nets,,New Orleans Pelicans,,,,,
Tue Dec 17 2019,9:00p,Orlando Magic,,Utah Jazz,,,,,
Tue Dec 17 2019,10:30p,Phoenix Suns,,Los Angeles Clippers,,,,,
Wed Dec 18 2019,7:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,
Wed Dec 18 2019,7:00p,Toronto Raptors,,Detroit Pistons,,,,,
Wed Dec 18 2019,7:00p,Miami Heat,,Philadelphia 76ers,,,,,
Wed Dec 18 2019,7:00p,Chicago Bulls,,Washington Wizards,,,,,
Wed Dec 18 2019,8:00p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,
Wed Dec 18 2019,8:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,
Wed Dec 18 2019,9:00p,Orlando Magic,,Denver Nuggets,,,,,
Wed Dec 18 2019,9:30p,Boston Celtics,,Dallas Mavericks,,,,,
Wed Dec 18 2019,10:00p,Golden State Warriors,,Portland Trail Blazers,,,,,
Thu Dec 19 2019,7:30p,Utah Jazz,,Atlanta Hawks,,,,,
Thu Dec 19 2019,8:00p,Los Angeles Lakers,,Milwaukee Bucks,,,,,
Thu Dec 19 2019,8:30p,Brooklyn Nets,,San Antonio Spurs,,,,,
Thu Dec 19 2019,10:30p,Houston Rockets,,Los Angeles Clippers,,,,,
Fri Dec 20 2019,7:00p,Memphis Grizzlies,,Cleveland Cavaliers,,,,,
Fri Dec 20 2019,7:00p,Sacramento Kings,,Indiana Pacers,,,,,
Fri Dec 20 2019,7:30p,Detroit Pistons,,Boston Celtics,,,,,
Fri Dec 20 2019,7:30p,Washington Wizards,,Toronto Raptors,,,,,
Fri Dec 20 2019,8:00p,New York Knicks,,Miami Heat,,,,,
Fri Dec 20 2019,8:00p,Phoenix Suns,,Oklahoma City Thunder,,,,,
Fri Dec 20 2019,8:00p,Dallas Mavericks,,Philadelphia 76ers,,,,,
Fri Dec 20 2019,9:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,
Fri Dec 20 2019,10:00p,Orlando Magic,,Portland Trail Blazers,,,,,
Fri Dec 20 2019,10:30p,New Orleans Pelicans,,Golden State Warriors,,,,,
Sat Dec 21 2019,5:00p,Utah Jazz,,Charlotte Hornets,,,,,
Sat Dec 21 2019,6:00p,Atlanta Hawks,,Brooklyn Nets,,,,,
Sat Dec 21 2019,7:00p,Chicago Bulls,,Detroit Pistons,,,,,
Sat Dec 21 2019,7:00p,Washington Wizards,,Philadelphia 76ers,,,,,
Sat Dec 21 2019,7:30p,Milwaukee Bucks,,New York Knicks,,,,,
Sat Dec 21 2019,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
Sat Dec 21 2019,8:30p,Los Angeles Clippers,,San Antonio Spurs,,,,,
Sat Dec 21 2019,9:00p,Houston Rockets,,Phoenix Suns,,,,,
Sat Dec 21 2019,10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,
Sun Dec 22 2019,3:30p,Dallas Mavericks,,Toronto Raptors,,,,,
Sun Dec 22 2019,6:00p,Charlotte Hornets,,Boston Celtics,,,,,
Sun Dec 22 2019,7:00p,Indiana Pacers,,Milwaukee Bucks,,,,,
Sun Dec 22 2019,7:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,
Sun Dec 22 2019,9:30p,Denver Nuggets,,Los Angeles Lakers,,,,,
Wed Jan 1 2020,6:00p,Orlando Magic,,Washington Wizards,,,,,
Wed Jan 1 2020,7:30p,Portland Trail Blazers,,New York Knicks,,,,,
Wed Jan 1 2020,8:00p,Minnesota Timberwolves,,Milwaukee Bucks,,,,,
Wed Jan 1 2020,10:30p,Phoenix Suns,,Los Angeles Lakers,,,,,
Thu Jan 2 2020,7:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,
Thu Jan 2 2020,7:00p,Denver Nuggets,,Indiana Pacers,,,,,
Thu Jan 2 2020,7:30p,Toronto Raptors,,Miami Heat,,,,,
Thu Jan 2 2020,8:00p,Utah Jazz,,Chicago Bulls,,,,,
Thu Jan 2 2020,8:00p,Golden State Warriors,,Minnesota Timberwolves,,,,,
Thu Jan 2 2020,8:30p,Brooklyn Nets,,Dallas Mavericks,,,,,
Thu Jan 2 2020,8:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,
Thu Jan 2 2020,10:00p,Memphis Grizzlies,,Sacramento Kings,,,,,
Thu Jan 2 2020,10:30p,Detroit Pistons,,Los Angeles Clippers,,,,,
Fri Jan 3 2020,7:00p,Atlanta Hawks,,Boston Celtics,,,,,
Fri Jan 3 2020,7:00p,Miami Heat,,Orlando Magic,,,,,
Fri Jan 3 2020,7:00p,Portland Trail Blazers,,Washington Wizards,,,,,
Fri Jan 3 2020,8:00p,Philadelphia 76ers,,Houston Rockets,,,,,
Fri Jan 3 2020,9:00p,New York Knicks,,Phoenix Suns,,,,,
Fri Jan 3 2020,10:30p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
Sat Jan 4 2020,3:30p,Memphis Grizzlies,,Los Angeles Clippers,,,,,
Sat Jan 4 2020,6:00p,Toronto Raptors,,Brooklyn Nets,,,,,
Sat Jan 4 2020,7:00p,Utah Jazz,,Orlando Magic,,,,,
Sat Jan 4 2020,7:30p,Indiana Pacers,,Atlanta Hawks,,,,,
Sat Jan 4 2020,7:30p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,
Sat Jan 4 2020,8:00p,Boston Celtics,,Chicago Bulls,,,,,
Sat Jan 4 2020,8:00p,Denver Nuggets,,Washington Wizards,,,,,
Sat Jan 4 2020,8:30p,Charlotte Hornets,,Dallas Mavericks,,,,,
Sat Jan 4 2020,8:30p,Detroit Pistons,,Golden State Warriors,,,,,
Sat Jan 4 2020,8:30p,San Antonio Spurs,,Milwaukee Bucks,,,,,
Sat Jan 4 2020,10:00p,New Orleans Pelicans,,Sacramento Kings,,,,,
Sun Jan 5 2020,3:30p,New York Knicks,,Los Angeles Clippers,,,,,
Sun Jan 5 2020,6:00p,Portland Trail Blazers,,Miami Heat,,,,,
Sun Jan 5 2020,7:30p,Minnesota Timberwolves,,Cleveland Cavaliers,,,,,
Sun Jan 5 2020,8:00p,Memphis Grizzlies,,Phoenix Suns,,,,,
Sun Jan 5 2020,10:00p,Detroit Pistons,,Los Angeles Lakers,,,,,
Mon Jan 6 2020,7:00p,Indiana Pacers,,Charlotte Hornets,,,,,
Mon Jan 6 2020,7:00p,Brooklyn Nets,,Orlando Magic,,,,,
Mon Jan 6 2020,7:00p,Oklahoma City Thunder,,Philadelphia 76ers,,,,,
Mon Jan 6 2020,7:00p,Boston Celtics,,Washington Wizards,,,,,
Mon Jan 6 2020,7:30p,Denver Nuggets,,Atlanta Hawks,,,,,
Mon Jan 6 2020,8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
Mon Jan 6 2020,8:30p,Chicago Bulls,,Dallas Mavericks,,,,,
Mon Jan 6 2020,8:30p,Milwaukee Bucks,,San Antonio Spurs,,,,,
Mon Jan 6 2020,10:00p,Golden State Warriors,,Sacramento Kings,,,,,
Tue Jan 7 2020,7:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,
Tue Jan 7 2020,7:00p,Portland Trail Blazers,,Toronto Raptors,,,,,
Tue Jan 7 2020,7:30p,Oklahoma City Thunder,,Brooklyn Nets,,,,,
Tue Jan 7 2020,8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,
Tue Jan 7 2020,9:00p,Sacramento Kings,,Phoenix Suns,,,,,
Tue Jan 7 2020,10:30p,New York Knicks,,Los Angeles Lakers,,,,,
Wed Jan 8 2020,7:00p,San Antonio Spurs,,Boston Celtics,,,,,
Wed Jan 8 2020,7:00p,Toronto Raptors,,Charlotte Hornets,,,,,
Wed Jan 8 2020,7:00p,Miami Heat,,Indiana Pacers,,,,,
Wed Jan 8 2020,7:00p,Washington Wizards,,Orlando Magic,,,,,
Wed Jan 8 2020,7:30p,Houston Rockets,,Atlanta Hawks,,,,,
Wed Jan 8 2020,7:30p,Denver Nuggets,,Dallas Mavericks,,,,,
Wed Jan 8 2020,8:00p,Chicago Bulls,,New Orleans Pelicans,,,,,
Wed Jan 8 2020,9:00p,New York Knicks,,Utah Jazz,,,,,
Wed Jan 8 2020,10:00p,Milwaukee Bucks,,Golden State Warriors,,,,,
Thu Jan 9 2020,7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
Thu Jan 9 2020,7:00p,Boston Celtics,,Philadelphia 76ers,,,,,
Thu Jan 9 2020,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,
Thu Jan 9 2020,9:30p,Houston Rockets,,Oklahoma City Thunder,,,,,
Fri Jan 10 2020,7:00p,Atlanta Hawks,,Washington Wizards,,,,,
Fri Jan 10 2020,7:30p,Miami Heat,,Brooklyn Nets,,,,,
Fri Jan 10 2020,8:00p,Indiana Pacers,,Chicago Bulls,,,,,
Fri Jan 10 2020,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,
Fri Jan 10 2020,8:00p,New Orleans Pelicans,,New York Knicks,,,,,
Fri Jan 10 2020,8:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,
Fri Jan 10 2020,9:00p,Orlando Magic,,Phoenix Suns,,,,,
Fri Jan 10 2020,9:00p,Charlotte Hornets,,Utah Jazz,,,,,
Fri Jan 10 2020,10:00p,Milwaukee Bucks,,Sacramento Kings,,,,,
Fri Jan 10 2020,10:30p,Golden State Warriors,,Los Angeles Clippers,,,,,
Sat Jan 11 2020,5:00p,Minnesota Timberwolves,,Houston Rockets,,,,,
Sat Jan 11 2020,7:00p,New Orleans Pelicans,,Boston Celtics,,,,,
Sat Jan 11 2020,7:00p,Chicago Bulls,,Detroit Pistons,,,,,
Sat Jan 11 2020,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,
Sat Jan 11 2020,8:30p,Philadelphia 76ers,,Dallas Mavericks,,,,,
Sat Jan 11 2020,9:00p,Cleveland Cavaliers,,Denver Nuggets,,,,,
Sat Jan 11 2020,10:00p,Milwaukee Bucks,,Portland Trail Blazers,,,,,
Sun Jan 12 2020,3:30p,Miami Heat,,New York Knicks,,,,,
Sun Jan 12 2020,3:30p,Utah Jazz,,Washington Wizards,,,,,
Sun Jan 12 2020,6:00p,Atlanta Hawks,,Brooklyn Nets,,,,,
Sun Jan 12 2020,6:00p,Golden State Warriors,,Memphis Grizzlies,,,,,
Sun Jan 12 2020,6:00p,San Antonio Spurs,,Toronto Raptors,,,,,
Sun Jan 12 2020,8:00p,Los Angeles Clippers,,Denver Nuggets,,,,,
Sun Jan 12 2020,8:00p,Charlotte Hornets,,Phoenix Suns,,,,,
Mon Jan 13 2020,7:00p,New Orleans Pelicans,,Detroit Pistons,,,,,
Mon Jan 13 2020,7:00p,Philadelphia 76ers,,Indiana Pacers,,,,,
Mon Jan 13 2020,7:30p,Chicago Bulls,,Boston Celtics,,,,,
Mon Jan 13 2020,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,
Mon Jan 13 2020,10:00p,Charlotte Hornets,,Portland Trail Blazers,,,,,
Mon Jan 13 2020,10:00p,Orlando Magic,,Sacramento Kings,,,,,
Mon Jan 13 2020,10:30p,Cleveland Cavaliers,,Los Angeles Lakers,,,,,
Tue Jan 14 2020,7:30p,Phoenix Suns,,Atlanta Hawks,,,,,
Tue Jan 14 2020,7:30p,Utah Jazz,,Brooklyn Nets,,,,,
Tue Jan 14 2020,8:00p,Houston Rockets,,Memphis Grizzlies,,,,,
Tue Jan 14 2020,8:00p,New York Knicks,,Milwaukee Bucks,,,,,
Tue Jan 14 2020,10:30p,Dallas Mavericks,,Golden State Warriors,,,,,
Tue Jan 14 2020,10:30p,Cleveland Cavaliers,,Los Angeles Clippers,,,,,
Wed Jan 15 2020,7:00p,Detroit Pistons,,Boston Celtics,,,,,
Wed Jan 15 2020,7:00p,Brooklyn Nets,,Philadelphia 76ers,,,,,
Wed Jan 15 2020,7:30p,San Antonio Spurs,,Miami Heat,,,,,
Wed Jan 15 2020,8:00p,Washington Wizards,,Chicago Bulls,,,,,
Wed Jan 15 2020,8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,
Wed Jan 15 2020,8:00p,Toronto Raptors,,Oklahoma City Thunder,,,,,
Wed Jan 15 2020,9:00p,Charlotte Hornets,,Denver Nuggets,,,,,
Wed Jan 15 2020,9:30p,Portland Trail Blazers,,Houston Rockets,,,,,
Wed Jan 15 2020,10:00p,Dallas Mavericks,,Sacramento Kings,,,,,
Wed Jan 15 2020,10:30p,Orlando Magic,,Los Angeles Lakers,,,,,
Thu Jan 16 2020,7:30p,Phoenix Suns,,New York Knicks,,,,,
Thu Jan 16 2020,8:00p,Boston Celtics,,Milwaukee Bucks,,,,,
Thu Jan 16 2020,8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
Thu Jan 16 2020,10:30p,Denver Nuggets,,Golden State Warriors,,,,,
Thu Jan 16 2020,10:30p,Orlando Magic,,Los Angeles Clippers,,,,,
Fri Jan 17 2020,7:00p,Minnesota Timberwolves,,Indiana Pacers,,,,,
Fri Jan 17 2020,7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,
Fri Jan 17 2020,7:00p,Washington Wizards,,Toronto Raptors,,,,,
Fri Jan 17 2020,8:00p,Cleveland Cavaliers,,Memphis Grizzlies,,,,,
Fri Jan 17 2020,8:00p,Miami Heat,,Oklahoma City Thunder,,,,,
Fri Jan 17 2020,8:30p,Atlanta Hawks,,San Antonio Spurs,,,,,
Fri Jan 17 2020,9:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,
Sat Jan 18 2020,3:30p,Los Angeles Clippers,,New Orleans Pelicans,,,,,
Sat Jan 18 2020,6:00p,Milwaukee Bucks,,Brooklyn Nets,,,,,
Sat Jan 18 2020,7:00p,Phoenix Suns,,Boston Celtics,,,,,
Sat Jan 18 2020,7:30p,Detroit Pistons,,Atlanta Hawks,,,,,
Sat Jan 18 2020,7:30p,Philadelphia 76ers,,New York Knicks,,,,,
Sat Jan 18 2020,8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,
Sat Jan 18 2020,8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,
Sat Jan 18 2020,8:30p,Orlando Magic,,Golden State Warriors,,,,,
Sat Jan 18 2020,8:30p,Los Angeles Lakers,,Houston Rockets,,,,,
Sat Jan 18 2020,9:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
Sat Jan 18 2020,9:00p,Sacramento Kings,,Utah Jazz,,,,,
Sun Jan 19 2020,3:00p,Miami Heat,,San Antonio Spurs,,,,,
Sun Jan 19 2020,8:00p,Indiana Pacers,,Denver Nuggets,,,,,
Mon Jan 20 2020,2:00p,Detroit Pistons,,Washington Wizards,,,,,
Mon Jan 20 2020,2:30p,Toronto Raptors,,Atlanta Hawks,,,,,
Mon Jan 20 2020,3:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,
Mon Jan 20 2020,5:00p,Orlando Magic,,Charlotte Hornets,,,,,
Mon Jan 20 2020,5:00p,New York Knicks,,Cleveland Cavaliers,,,,,
Mon Jan 20 2020,5:00p,Oklahoma City Thunder,,Houston Rockets,,,,,
Mon Jan 20 2020,5:00p,New Orleans Pelicans,,Memphis Grizzlies,,,,,
Mon Jan 20 2020,5:00p,Sacramento Kings,,Miami Heat,,,,,
Mon Jan 20 2020,5:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
Mon Jan 20 2020,7:30p,Los Angeles Lakers,,Boston Celtics,,,,,
Mon Jan 20 2020,8:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,
Mon Jan 20 2020,9:00p,San Antonio Spurs,,Phoenix Suns,,,,,
Mon Jan 20 2020,9:00p,Indiana Pacers,,Utah Jazz,,,,,
Mon Jan 20 2020,10:00p,Golden State Warriors,,Portland Trail Blazers,,,,,
Tue Jan 21 2020,8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,
Wed Jan 22 2020,7:00p,Sacramento Kings,,Detroit Pistons,,,,,
Wed Jan 22 2020,7:00p,Oklahoma City Thunder,,Orlando Magic,,,,,
Wed Jan 22 2020,7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,
Wed Jan 22 2020,7:30p,Memphis Grizzlies,,Boston Celtics,,,,,
