win,lose,probability
Portland Trail Blazers,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,New Orleans Pelicans,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Oklahoma City Thunder,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Indiana Pacers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Houston Rockets,Boston Celtics,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Utah Jazz,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Chicago Bulls,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Philadelphia 76ers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Miami Heat,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,San Antonio Spurs,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Utah Jazz,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Washington Wizards,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Miami Heat,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Golden State Warriors,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Orlando Magic,Boston Celtics,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Phoenix Suns,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Atlanta Hawks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Charlotte Hornets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Houston Rockets,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Sacramento Kings,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Washington Wizards,Milwaukee Bucks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Detroit Pistons,Philadelphia 76ers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,New York Knicks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Denver Nuggets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Los Angeles Lakers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Toronto Raptors,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Golden State Warriors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Phoenix Suns,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Oklahoma City Thunder,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Detroit Pistons,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Miami Heat,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Boston Celtics,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Utah Jazz,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Portland Trail Blazers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Golden State Warriors,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Indiana Pacers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Phoenix Suns,San Antonio Spurs,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Boston Celtics,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,New Orleans Pelicans,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Brooklyn Nets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Los Angeles Lakers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Denver Nuggets,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Houston Rockets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,New Orleans Pelicans,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Washington Wizards,Los Angeles Clippers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Chicago Bulls,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Indiana Pacers,Washington Wizards,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Atlanta Hawks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Golden State Warriors,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New York Knicks,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Detroit Pistons,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Orlando Magic,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Boston Celtics,Oklahoma City Thunder,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Atlanta Hawks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Detroit Pistons,Golden State Warriors,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Houston Rockets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Washington Wizards,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Sacramento Kings,"tensor([0.9969], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Miami Heat,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Orlando Magic,Los Angeles Lakers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Phoenix Suns,Philadelphia 76ers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Boston Celtics,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Charlotte Hornets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Chicago Bulls,Indiana Pacers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Detroit Pistons,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Denver Nuggets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Atlanta Hawks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Dallas Mavericks,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Orlando Magic,Memphis Grizzlies,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Memphis Grizzlies,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Houston Rockets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Utah Jazz,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Miami Heat,Oklahoma City Thunder,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Atlanta Hawks,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Sacramento Kings,"tensor([0.9972], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Washington Wizards,Indiana Pacers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Miami Heat,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Boston Celtics,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Dallas Mavericks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Oklahoma City Thunder,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Phoenix Suns,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Chicago Bulls,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Portland Trail Blazers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Washington Wizards,Brooklyn Nets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Chicago Bulls,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Los Angeles Clippers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Phoenix Suns,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Detroit Pistons,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Utah Jazz,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Chicago Bulls,Charlotte Hornets,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,New Orleans Pelicans,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Golden State Warriors,Denver Nuggets,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Houston Rockets,Washington Wizards,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Oklahoma City Thunder,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New York Knicks,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Memphis Grizzlies,"tensor([0.9972], grad_fn=<RsubBackward1>)"
New York Knicks,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Denver Nuggets,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Utah Jazz,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Boston Celtics,Philadelphia 76ers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Orlando Magic,Houston Rockets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Los Angeles Clippers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Washington Wizards,Minnesota Timberwolves,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Boston Celtics,New Orleans Pelicans,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Chicago Bulls,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Utah Jazz,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Denver Nuggets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Charlotte Hornets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Detroit Pistons,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Golden State Warriors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Toronto Raptors,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New York Knicks,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Portland Trail Blazers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Sacramento Kings,Detroit Pistons,"tensor([0.9972], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Milwaukee Bucks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Toronto Raptors,Boston Celtics,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Utah Jazz,Cleveland Cavaliers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Washington Wizards,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,New Orleans Pelicans,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Denver Nuggets,Indiana Pacers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Golden State Warriors,Detroit Pistons,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New York Knicks,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Boston Celtics,"tensor([0.9970], grad_fn=<RsubBackward1>)"
